@DATA SEED       4096
@T     229118 l 1
@T     229191 l 0
@T     229373 l 1
@T     229446 l 0
@T     229628 l 1
@T     229701 l 0
@T     229883 l 1
@T     229956 l 0
@T     230138 l 1
@T     230211 l 0
@T     230393 l 1
@T     230466 l 0
@T     230648 l 1
@T     230721 l 0
@T     230903 l 1
@T     230976 l 0
@T     231158 l 1
@T     231231 l 0
@T     231413 l 1
@T     231486 l 0
@T     231668 l 1
@T     231741 l 0
@T     231923 l 1
@T     231996 l 0
@T     232178 l 1
@T     232251 l 0
@T     232433 l 1
@T     232506 l 0
@T     232688 l 1
@T     232761 l 0
@T     232943 l 1
@T     233016 l 0
@T     233198 l 1
@T     233271 l 0
